x [mm], y [mm], u [m/s], v [m/s]
-1.950000000000000000e+02, -9.500000000000000000e+01, 9.921276092529296875e+00, 1.973134726285934448e-01
-1.850000000000000000e+02, -9.500000000000000000e+01, 9.921276092529296875e+00, 1.973134726285934448e-01
-1.750000000000000000e+02, -9.500000000000000000e+01, 9.921276092529296875e+00, 1.973134726285934448e-01
-1.650000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.550000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.450000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -9.500000000000000000e+01, 1.038798427581787109e+01, -9.399751573801040649e-02
-9.500000000000000000e+01, -9.500000000000000000e+01, 1.038877677917480469e+01, -1.028776094317436218e-01
-8.500000000000000000e+01, -9.500000000000000000e+01, 1.065788745880126953e+01, 4.272341728210449219e-03
-7.500000000000000000e+01, -9.500000000000000000e+01, 1.129776668548583984e+01, 2.028829455375671387e-01
-6.500000000000000000e+01, -9.500000000000000000e+01, 1.179995155334472656e+01, 3.096389174461364746e-01
-5.500000000000000000e+01, -9.500000000000000000e+01, 1.196385669708251953e+01, 3.280062377452850342e-01
-4.500000000000000000e+01, -9.500000000000000000e+01, 1.172321414947509766e+01, 2.380783706903457642e-01
-3.500000000000000000e+01, -9.500000000000000000e+01, 1.113184261322021484e+01, 1.119936853647232056e-01
-2.500000000000000000e+01, -9.500000000000000000e+01, 1.083753776550292969e+01, 2.031077742576599121e-01
-1.500000000000000000e+01, -9.500000000000000000e+01, 1.090345096588134766e+01, 2.711968719959259033e-01
-5.000000000000000000e+00, -9.500000000000000000e+01, 1.096163654327392578e+01, 2.472960650920867920e-01
5.000000000000000000e+00, -9.500000000000000000e+01, 1.091574573516845703e+01, 3.382999002933502197e-01
1.500000000000000000e+01, -9.500000000000000000e+01, 1.055586433410644531e+01, 2.049458026885986328e-01
2.500000000000000000e+01, -9.500000000000000000e+01, 1.065081977844238281e+01, 5.030374228954315186e-02
3.500000000000000000e+01, -9.500000000000000000e+01, 1.044252681732177734e+01, 2.487384974956512451e-01
4.500000000000000000e+01, -9.500000000000000000e+01, 1.030923271179199219e+01, 2.441536188125610352e-01
5.500000000000000000e+01, -9.500000000000000000e+01, 1.045362949371337891e+01, 2.455413490533828735e-01
6.500000000000000000e+01, -9.500000000000000000e+01, 1.047742843627929688e+01, 4.988502264022827148e-01
7.500000000000000000e+01, -9.500000000000000000e+01, 1.061923885345458984e+01, 5.089215040206909180e-01
8.500000000000000000e+01, -9.500000000000000000e+01, 1.073385906219482422e+01, 5.212337374687194824e-01
9.500000000000000000e+01, -9.500000000000000000e+01, 1.071739387512207031e+01, 4.731549322605133057e-01
1.050000000000000000e+02, -9.500000000000000000e+01, 1.062468910217285156e+01, 3.847592473030090332e-01
1.150000000000000000e+02, -9.500000000000000000e+01, 1.043662452697753906e+01, 2.205837965011596680e-01
1.250000000000000000e+02, -9.500000000000000000e+01, 1.019012546539306641e+01, 4.661776870489120483e-02
1.350000000000000000e+02, -9.500000000000000000e+01, 9.909889221191406250e+00, -1.126070693135261536e-01
1.450000000000000000e+02, -9.500000000000000000e+01, 1.003153324127197266e+01, -9.028450399637222290e-02
1.550000000000000000e+02, -9.500000000000000000e+01, 1.048737621307373047e+01, -1.601196080446243286e-02
1.650000000000000000e+02, -9.500000000000000000e+01, 1.067128467559814453e+01, -1.014516502618789673e-02
